card_id,card_name,card_brand,card_in_out,card_record,card_summary,card_image,card_section
1,KB국민 My WE:SH 카드,KB국민카드,"국내전용 15,000원 해외겸용 15,000원",전월실적40만원 이상,"KB Pay10%할인
음식점10%할인
서비스팩 3개 중1개선택할인",https://api.card-gorilla.com:8080/storage/card/2441/card_img/28283/2441card.png,신용카드
2,LOCA 365 카드,롯데카드,"국내전용 20,000원 해외겸용 20,000원",전월실적50만원 이상,"아파트관리비, 공과금10%할인
교통, 통신, 배달앱10%할인
스트리밍1,500원할인",https://api.card-gorilla.com:8080/storage/card/2330/card_img/24131/2330card.png,신용카드
3,삼성카드 taptap O,삼성카드,"국내전용 10,000원 해외겸용 10,000원",전월실적30만원 이상,"스타벅스50%할인
대중교통10%할인
CGV, 롯데시네마5,000원할인",https://api.card-gorilla.com:8080/storage/card/51/card_img/27707/51card.png,신용카드
4,신한카드 Mr.Life,신한카드,"해외겸용 15,000원",전월실적30만원 이상,"공과금10%할인
마트,편의점10%할인
식음료10%할인",https://api.card-gorilla.com:8080/storage/card/13/card_img/28201/13card.png,신용카드
5,DA@카드의정석,우리카드,"국내전용 5,000원 해외겸용 10,000원",전월실적없음,"모든가맹점0.8%할인
생활업종1.3%할인
국내공항라운지연 2회무료(전월실적 30만원)",https://api.card-gorilla.com:8080/storage/card/87/card_img/20239/87card.png,신용카드
6,삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,"국내전용 47,000원 해외겸용 49,000원",전월실적없음,"1,000원당1마일기본적립
커피/주유2마일특별적립
인천공항라운지무료이용",https://api.card-gorilla.com:8080/storage/card/49/card_img/27705/49card.png,신용카드
7,신한카드 Deep Dream,신한카드,"해외겸용 8,000원",전월실적없음,"모두드림0.7%적립
더해드림2.1%적립
챙겨드림3.5%적립",https://api.card-gorilla.com:8080/storage/card/32/card_img/20114/32card.png,신용카드
8,카드의정석 EVERY 1,우리카드,"국내전용 12,000원 해외겸용 12,000원",전월실적없음,"국내외 가맹점1%청구할인
전월실적 따라최대 2만원추가할인",https://api.card-gorilla.com:8080/storage/card/2551/card_img/29587/2551card.png,신용카드
9,현대카드ZERO Edition2(할인형),현대카드,"국내전용 10,000원 해외겸용 10,000원",전월실적없음,"모든가맹점0.7%할인
생활필수영역1.5%할인",https://api.card-gorilla.com:8080/storage/card/608/card_img/27229/608card.png,신용카드
10,THE iD. PLATINUM(포인트),삼성카드,"국내전용 215,000원 해외겸용 220,000원",전월실적50만원 이상,"기프트 서비스15만원 상당제공
국내 가맹점1%빅포인트 적립
특별 가맹점1.5%빅포인트 적립",https://api.card-gorilla.com:8080/storage/card/2460/card_img/28298/2460card.png,신용카드
